point_id,y,prod_level,alloc_key,cell5m,x,name_cntr,name_adm1,name_adm2,lon,lat,mean_rain_mm,mean_ET_apr_sep_mm_1990_2020
0,ETH,ET11004,9032615,3899254,37.875,Ethiopia,Tigray,North Western Tigray,37.875,14.79166667,648.1262798,329.95278138387096
1,ETH,ET11004,9032616,3899255,37.95833333,Ethiopia,Tigray,North Western Tigray,37.95833333,14.79166667,662.0953745,328.47018063225806
2,ETH,ET11004,9042615,3903574,37.875,Ethiopia,Tigray,North Western Tigray,37.875,14.70833333,648.2396845,329.95278138387096
3,ETH,ET11004,9042617,3903576,38.04166667,Ethiopia,Tigray,North Western Tigray,38.04166667,14.70833333,656.1867888,335.1555149741936
4,ETH,ET11004,9052614,3907893,37.79166667,Ethiopia,Tigray,North Western Tigray,37.79166667,14.625,698.4027431,325.60417738709674
5,ETH,ET11004,9052615,3907894,37.875,Ethiopia,Tigray,North Western Tigray,37.875,14.625,712.6968984,324.0489007096774
6,ETH,ET11004,9052618,3907897,38.125,Ethiopia,Tigray,North Western Tigray,38.125,14.625,706.2150226,339.5571130709678
7,ETH,ET11001,9052629,3907908,39.04166667,Ethiopia,Tigray,Central Tigray,39.04166667,14.625,546.4332333,321.89895748387096
8,ETH,ET11001,9052630,3907909,39.125,Ethiopia,Tigray,Central Tigray,39.125,14.625,523.9240903,353.1584057096774
9,ETH,ET11004,9062614,3912213,37.79166667,Ethiopia,Tigray,North Western Tigray,37.79166667,14.54166667,755.7329455,338.1684145096774
10,ETH,ET11004,9062615,3912214,37.875,Ethiopia,Tigray,North Western Tigray,37.875,14.54166667,762.7620953,337.00983451935485
11,ETH,ET11004,9062616,3912215,37.95833333,Ethiopia,Tigray,North Western Tigray,37.95833333,14.54166667,815.7976821,339.2202877290323
12,ETH,ET11004,9062617,3912216,38.04166667,Ethiopia,Tigray,North Western Tigray,38.04166667,14.54166667,804.1777116,331.4816855806452
13,ETH,ET11004,9062618,3912217,38.125,Ethiopia,Tigray,North Western Tigray,38.125,14.54166667,755.4910226,335.9499398419355
14,ETH,ET11004,9062619,3912218,38.20833333,Ethiopia,Tigray,North Western Tigray,38.20833333,14.54166667,770.9148833,350.55272751612904
15,ETH,ET11004,9062620,3912219,38.29166667,Ethiopia,Tigray,North Western Tigray,38.29166667,14.54166667,759.6107051,350.55272751612904
16,ETH,ET11001,9062628,3912227,38.95833333,Ethiopia,Tigray,Central Tigray,38.95833333,14.54166667,596.8829187,309.04158436451615
17,ETH,ET11001,9062629,3912228,39.04166667,Ethiopia,Tigray,Central Tigray,39.04166667,14.54166667,580.8291065,301.77850170645166
18,ETH,ET11001,9062630,3912229,39.125,Ethiopia,Tigray,Central Tigray,39.125,14.54166667,559.3066418,340.0053089032258
19,ETH,ET11001,9062631,3912230,39.20833333,Ethiopia,Tigray,Central Tigray,39.20833333,14.54166667,526.8858744,336.8081099677419
20,ETH,ET11002,9062635,3912234,39.54166667,Ethiopia,Tigray,Easetern Tigray,39.54166667,14.54166667,493.4911974,312.22253631612904
21,ETH,ET11002,9062636,3912235,39.625,Ethiopia,Tigray,Easetern Tigray,39.625,14.54166667,501.0828787,210.3258939483871
22,ETH,ET11004,9072613,3916532,37.70833333,Ethiopia,Tigray,North Western Tigray,37.70833333,14.45833333,787.8958529,342.50628708064517
23,ETH,ET11004,9072614,3916533,37.79166667,Ethiopia,Tigray,North Western Tigray,37.79166667,14.45833333,788.2758352,342.50628708064517
24,ETH,ET11004,9072615,3916534,37.875,Ethiopia,Tigray,North Western Tigray,37.875,14.45833333,801.7249848,337.7022834096774
25,ETH,ET11004,9072616,3916535,37.95833333,Ethiopia,Tigray,North Western Tigray,37.95833333,14.45833333,831.8152707,336.2887711516129
26,ETH,ET11004,9072618,3916537,38.125,Ethiopia,Tigray,North Western Tigray,38.125,14.45833333,819.2129786,339.9788783290322
27,ETH,ET11004,9072620,3916539,38.29166667,Ethiopia,Tigray,North Western Tigray,38.29166667,14.45833333,791.4300292,352.97355273548385
28,ETH,ET11004,9072621,3916540,38.375,Ethiopia,Tigray,North Western Tigray,38.375,14.45833333,769.7713745,346.0612753516129
29,ETH,ET11001,9072625,3916544,38.70833333,Ethiopia,Tigray,Central Tigray,38.70833333,14.45833333,692.6798982,334.6463996354839
30,ETH,ET11001,9072626,3916545,38.79166667,Ethiopia,Tigray,Central Tigray,38.79166667,14.45833333,686.4949424,334.6463996354839
31,ETH,ET11001,9072627,3916546,38.875,Ethiopia,Tigray,Central Tigray,38.875,14.45833333,649.5836251,316.9009420612903
32,ETH,ET11001,9072628,3916547,38.95833333,Ethiopia,Tigray,Central Tigray,38.95833333,14.45833333,609.5869412,300.66440598387095
33,ETH,ET11001,9072629,3916548,39.04166667,Ethiopia,Tigray,Central Tigray,39.04166667,14.45833333,599.1569578,296.6309098419355
34,ETH,ET11001,9072630,3916549,39.125,Ethiopia,Tigray,Central Tigray,39.125,14.45833333,573.7965454,320.52149016129033
35,ETH,ET11001,9072631,3916550,39.20833333,Ethiopia,Tigray,Central Tigray,39.20833333,14.45833333,539.2005167,334.89426467741936
36,ETH,ET11002,9072633,3916552,39.375,Ethiopia,Tigray,Easetern Tigray,39.375,14.45833333,518.798993,322.28538374193545
37,ETH,ET11002,9072634,3916553,39.45833333,Ethiopia,Tigray,Easetern Tigray,39.45833333,14.45833333,509.0329476,325.3452486774193
38,ETH,ET11002,9072635,3916554,39.54166667,Ethiopia,Tigray,Easetern Tigray,39.54166667,14.45833333,522.2240623,301.7005095741935
39,ETH,ET11006,9082606,3920845,37.125,Ethiopia,Tigray,Western Tigray,37.125,14.375,739.8496513,343.3332057503226
40,ETH,ET11006,9082607,3920846,37.20833333,Ethiopia,Tigray,Western Tigray,37.20833333,14.375,768.3113772,349.09114074516134
41,ETH,ET11006,9082608,3920847,37.29166667,Ethiopia,Tigray,Western Tigray,37.29166667,14.375,777.5671418,349.09114074516134
42,ETH,ET11004,9082613,3920852,37.70833333,Ethiopia,Tigray,North Western Tigray,37.70833333,14.375,826.610181,343.6891926032258
43,ETH,ET11004,9082614,3920853,37.79166667,Ethiopia,Tigray,North Western Tigray,37.79166667,14.375,827.2592267,343.6891926032258
44,ETH,ET11004,9082615,3920854,37.875,Ethiopia,Tigray,North Western Tigray,37.875,14.375,830.789754,345.50388179032257
45,ETH,ET11004,9082616,3920855,37.95833333,Ethiopia,Tigray,North Western Tigray,37.95833333,14.375,847.957505,358.3823777258064
46,ETH,ET11004,9082617,3920856,38.04166667,Ethiopia,Tigray,North Western Tigray,38.04166667,14.375,860.0301576,358.3342241129032
47,ETH,ET11004,9082618,3920857,38.125,Ethiopia,Tigray,North Western Tigray,38.125,14.375,870.0904581,350.2702428709677
48,ETH,ET11004,9082619,3920858,38.20833333,Ethiopia,Tigray,North Western Tigray,38.20833333,14.375,847.2573176,354.38131458064515
49,ETH,ET11004,9082620,3920859,38.29166667,Ethiopia,Tigray,North Western Tigray,38.29166667,14.375,827.5016311,354.38131458064515
50,ETH,ET11004,9082621,3920860,38.375,Ethiopia,Tigray,North Western Tigray,38.375,14.375,778.0037832,363.268959383871
51,ETH,ET11001,9082622,3920861,38.45833333,Ethiopia,Tigray,Central Tigray,38.45833333,14.375,773.9171336,350.5391036290323
52,ETH,ET11001,9082623,3920862,38.54166667,Ethiopia,Tigray,Central Tigray,38.54166667,14.375,735.7465718,335.39220975161294
53,ETH,ET11001,9082624,3920863,38.625,Ethiopia,Tigray,Central Tigray,38.625,14.375,725.0634648,349.1487332064516
54,ETH,ET11001,9082625,3920864,38.70833333,Ethiopia,Tigray,Central Tigray,38.70833333,14.375,713.0473596,343.9458285483871
55,ETH,ET11001,9082626,3920865,38.79166667,Ethiopia,Tigray,Central Tigray,38.79166667,14.375,701.9631393,343.9458285483871
