point_id,y,prod_level,alloc_key,cell5m,x,name_cntr,name_adm1,name_adm2,lon,lat,mean_rain_mm,whea_a,maiz_a,barl_a,sorg_a
0,ETH,ET11004,9032615,3899254,37.875,Ethiopia,Tigray,North Western Tigray,37.875,14.79166667,648.1262798,0,562.5,0,1042.9
1,ETH,ET11004,9032616,3899255,37.95833333,Ethiopia,Tigray,North Western Tigray,37.95833333,14.79166667,662.0953745,0,490,0,791.5
2,ETH,ET11004,9042615,3903574,37.875,Ethiopia,Tigray,North Western Tigray,37.875,14.70833333,648.2396845,0,699.4,0,962.8
3,ETH,ET11004,9042617,3903576,38.04166667,Ethiopia,Tigray,North Western Tigray,38.04166667,14.70833333,656.1867888,0,809.4,0,1154
4,ETH,ET11004,9052614,3907893,37.79166667,Ethiopia,Tigray,North Western Tigray,37.79166667,14.625,698.4027431,0,2046.5,0,2696.1
5,ETH,ET11004,9052615,3907894,37.875,Ethiopia,Tigray,North Western Tigray,37.875,14.625,712.6968984,0,1382.9,0,1848.3
6,ETH,ET11004,9052618,3907897,38.125,Ethiopia,Tigray,North Western Tigray,38.125,14.625,706.2150226,0,0,0,0
7,ETH,ET11001,9052629,3907908,39.04166667,Ethiopia,Tigray,Central Tigray,39.04166667,14.625,546.4332333,0,5634.6,0,5844.4
8,ETH,ET11001,9052630,3907909,39.125,Ethiopia,Tigray,Central Tigray,39.125,14.625,523.9240903,1243.2,4581.6,0,5129.9
9,ETH,ET11004,9062614,3912213,37.79166667,Ethiopia,Tigray,North Western Tigray,37.79166667,14.54166667,755.7329455,0,2047,0,2576.6
10,ETH,ET11004,9062615,3912214,37.875,Ethiopia,Tigray,North Western Tigray,37.875,14.54166667,762.7620953,0,1142.1,0,1504.4
11,ETH,ET11004,9062616,3912215,37.95833333,Ethiopia,Tigray,North Western Tigray,37.95833333,14.54166667,815.7976821,0,0,0,0
12,ETH,ET11004,9062617,3912216,38.04166667,Ethiopia,Tigray,North Western Tigray,38.04166667,14.54166667,804.1777116,0,0,0,0
13,ETH,ET11004,9062618,3912217,38.125,Ethiopia,Tigray,North Western Tigray,38.125,14.54166667,755.4910226,0,1090.4,0,1204.9
14,ETH,ET11004,9062619,3912218,38.20833333,Ethiopia,Tigray,North Western Tigray,38.20833333,14.54166667,770.9148833,0,0,0,0
15,ETH,ET11004,9062620,3912219,38.29166667,Ethiopia,Tigray,North Western Tigray,38.29166667,14.54166667,759.6107051,0,560.3,0,607.4
16,ETH,ET11001,9062628,3912227,38.95833333,Ethiopia,Tigray,Central Tigray,38.95833333,14.54166667,596.8829187,3210.9,1878.4,2414.5,2884.7
17,ETH,ET11001,9062629,3912228,39.04166667,Ethiopia,Tigray,Central Tigray,39.04166667,14.54166667,580.8291065,1167.5,3552.8,0,3475.3
18,ETH,ET11001,9062630,3912229,39.125,Ethiopia,Tigray,Central Tigray,39.125,14.54166667,559.3066418,1421.1,2475.2,1450.1,2535.4
19,ETH,ET11001,9062631,3912230,39.20833333,Ethiopia,Tigray,Central Tigray,39.20833333,14.54166667,526.8858744,1261.3,1789.1,1283.2,2119.8
20,ETH,ET11002,9062635,3912234,39.54166667,Ethiopia,Tigray,Easetern Tigray,39.54166667,14.54166667,493.4911974,483.8,562.4,828.1,713.1
21,ETH,ET11002,9062636,3912235,39.625,Ethiopia,Tigray,Easetern Tigray,39.625,14.54166667,501.0828787,0,0,0,0
22,ETH,ET11004,9072613,3916532,37.70833333,Ethiopia,Tigray,North Western Tigray,37.70833333,14.45833333,787.8958529,0,2433,0,3006.2
23,ETH,ET11004,9072614,3916533,37.79166667,Ethiopia,Tigray,North Western Tigray,37.79166667,14.45833333,788.2758352,0,2321.9,0,2817.9
24,ETH,ET11004,9072615,3916534,37.875,Ethiopia,Tigray,North Western Tigray,37.875,14.45833333,801.7249848,0,2441,0,2922.2
25,ETH,ET11004,9072616,3916535,37.95833333,Ethiopia,Tigray,North Western Tigray,37.95833333,14.45833333,831.8152707,0,1763.4,0,0
26,ETH,ET11004,9072618,3916537,38.125,Ethiopia,Tigray,North Western Tigray,38.125,14.45833333,819.2129786,0,0,0,0
27,ETH,ET11004,9072620,3916539,38.29166667,Ethiopia,Tigray,North Western Tigray,38.29166667,14.45833333,791.4300292,0,768.8,0,745.7
28,ETH,ET11004,9072621,3916540,38.375,Ethiopia,Tigray,North Western Tigray,38.375,14.45833333,769.7713745,0,721.9,0,700.7
29,ETH,ET11001,9072625,3916544,38.70833333,Ethiopia,Tigray,Central Tigray,38.70833333,14.45833333,692.6798982,0,1703.9,0,2336.2
30,ETH,ET11001,9072626,3916545,38.79166667,Ethiopia,Tigray,Central Tigray,38.79166667,14.45833333,686.4949424,2943.6,3721.3,2170.2,4570.4
31,ETH,ET11001,9072627,3916546,38.875,Ethiopia,Tigray,Central Tigray,38.875,14.45833333,649.5836251,0,1867.6,0,2232.6
32,ETH,ET11001,9072628,3916547,38.95833333,Ethiopia,Tigray,Central Tigray,38.95833333,14.45833333,609.5869412,1706.7,3022.3,1495.3,3398.1
33,ETH,ET11001,9072629,3916548,39.04166667,Ethiopia,Tigray,Central Tigray,39.04166667,14.45833333,599.1569578,2527.4,3457.6,2353.8,3476.2
34,ETH,ET11001,9072630,3916549,39.125,Ethiopia,Tigray,Central Tigray,39.125,14.45833333,573.7965454,2329.9,807.6,2197.1,1024.7
35,ETH,ET11001,9072631,3916550,39.20833333,Ethiopia,Tigray,Central Tigray,39.20833333,14.45833333,539.2005167,1363.1,783.7,1467.7,842.5
36,ETH,ET11002,9072633,3916552,39.375,Ethiopia,Tigray,Easetern Tigray,39.375,14.45833333,518.798993,732.3,735.4,1133.6,903
37,ETH,ET11002,9072634,3916553,39.45833333,Ethiopia,Tigray,Easetern Tigray,39.45833333,14.45833333,509.0329476,563.6,615.3,822.2,722.9
38,ETH,ET11002,9072635,3916554,39.54166667,Ethiopia,Tigray,Easetern Tigray,39.54166667,14.45833333,522.2240623,316.1,340.6,484,431.1
39,ETH,ET11006,9082606,3920845,37.125,Ethiopia,Tigray,Western Tigray,37.125,14.375,739.8496513,0,1358.2,0,1712.6
40,ETH,ET11006,9082607,3920846,37.20833333,Ethiopia,Tigray,Western Tigray,37.20833333,14.375,768.3113772,0,1287,0,1541.5
41,ETH,ET11006,9082608,3920847,37.29166667,Ethiopia,Tigray,Western Tigray,37.29166667,14.375,777.5671418,0,1129.9,0,1378.7
42,ETH,ET11004,9082613,3920852,37.70833333,Ethiopia,Tigray,North Western Tigray,37.70833333,14.375,826.610181,0,2782.7,0,3294
43,ETH,ET11004,9082614,3920853,37.79166667,Ethiopia,Tigray,North Western Tigray,37.79166667,14.375,827.2592267,0,2352.9,0,2569.7
44,ETH,ET11004,9082615,3920854,37.875,Ethiopia,Tigray,North Western Tigray,37.875,14.375,830.789754,0,3019.5,0,3440.3
45,ETH,ET11004,9082616,3920855,37.95833333,Ethiopia,Tigray,North Western Tigray,37.95833333,14.375,847.957505,0,2569.9,0,0
46,ETH,ET11004,9082617,3920856,38.04166667,Ethiopia,Tigray,North Western Tigray,38.04166667,14.375,860.0301576,0,2156.3,0,2034.7
47,ETH,ET11004,9082618,3920857,38.125,Ethiopia,Tigray,North Western Tigray,38.125,14.375,870.0904581,505,1998.4,0,1785.8
48,ETH,ET11004,9082619,3920858,38.20833333,Ethiopia,Tigray,North Western Tigray,38.20833333,14.375,847.2573176,1875.8,3081.6,1345.9,2887.6
49,ETH,ET11004,9082620,3920859,38.29166667,Ethiopia,Tigray,North Western Tigray,38.29166667,14.375,827.5016311,0,1086.5,0,1078.7
50,ETH,ET11004,9082621,3920860,38.375,Ethiopia,Tigray,North Western Tigray,38.375,14.375,778.0037832,0,989.5,0,932
51,ETH,ET11001,9082622,3920861,38.45833333,Ethiopia,Tigray,Central Tigray,38.45833333,14.375,773.9171336,0,1212.5,0,1316.3
52,ETH,ET11001,9082623,3920862,38.54166667,Ethiopia,Tigray,Central Tigray,38.54166667,14.375,735.7465718,0,475.6,0,838.1
